,family_history,know_resources,emp_mh_resources,mh_benefits,mh_with_coworkers,mh_with_supervisor,past_disorder,ph_or_mh_discuss,reveal_to_clients,mention_interview,share_with_f&f,num_employees,ever_diagnosed,identified,identifited_neg_consequences,medical_coverage,primarily_tech,primary_role_tech,self-employed,sought_treatment
266,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
267,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
268,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
269,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
270,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
271,,,,,,,,,,,9,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
272,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
273,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
274,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
275,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
276,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
277,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
278,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
279,,,,,,,,,,,0,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
280,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
281,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
282,,,,,,,,,,,7,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
283,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
284,,,,,,,,,,,7,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
285,,,,,,,,,,,10,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
286,,,,,,,,,,,2,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
287,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
288,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
289,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
290,,,,,,,,,,,4,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
291,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
292,,,,,,,,,,,9,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
293,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
294,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
295,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
296,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
297,,,,,,,,,,,10,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
298,,,,,,,,,,,6,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
299,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
300,,,,,,,,,,,1,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
301,,,,,,,,,,,2,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
302,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
303,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
304,,,,,,,,,,,6,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
305,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
306,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
307,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
308,,,,,,,,,,,6,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
309,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
310,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
311,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
312,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
313,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
314,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
315,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
316,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
317,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
318,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
319,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
320,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
321,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
322,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
323,,,,,,,,,,,2,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
324,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
325,,,,,,,,,,,6,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
326,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
327,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
328,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
329,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
330,,,,,,,,,,,9,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
331,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
332,,,,,,,,,,,3,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
333,,,,,,,,,,,4,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
334,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
335,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
336,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
337,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
338,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
339,,,,,,,,,,,7,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
340,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
341,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
342,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
343,,,,,,,,,,,6,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
344,,,,,,,,,,,7,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
345,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
346,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
347,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
348,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
349,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
350,,,,,,,,,,,9,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
351,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
352,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
353,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
354,,,,,,,,,,,2,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
355,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
356,,,,,,,,,,,7,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
357,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
358,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
359,,,,,,,,,,,5,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
360,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
361,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
362,,,,,,,,,,,1,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
363,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
364,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
365,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
366,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
367,,,,,,,,,,,3,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
368,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
369,,,,,,,,,,,0,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
370,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
371,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
372,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
373,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
374,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
375,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
376,,,,,,,,,,,3,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
377,,,,,,,,,,,2,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
378,,,,,,,,,,,6,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
379,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
380,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
381,,,,,,,,,,,9,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
382,,,,,,,,,,,0,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
383,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
384,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
385,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
386,,,,,,,,,,,2,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
387,,,,,,,,,,,8,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
388,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
389,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
390,,,,,,,,,,,4,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
391,,,,,,,,,,,0,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
392,,,,,,,,,,,0,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
393,,,,,,,,,,,6,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
394,,,,,,,,,,,6,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
395,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
396,,,,,,,,,,,10,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
397,,,,,,,,,,,1,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
398,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
399,,,,,,,,,,,2,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
400,,,,,,,,,,,2,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
401,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
402,,,,,,,,,,,10,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
403,,,,,,,,,,,8,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
404,,,,,,,,,,,8,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
405,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
406,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
407,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
408,,,,,,,,,,,10,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
409,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
410,,,,,,,,,,,1,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
411,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
412,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
413,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
414,,,,,,,,,,,9,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
415,,,,,,,,,,,1,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
416,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
417,,,,,,,,,,,4,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
418,,,,,,,,,,,6,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
419,,,,,,,,,,,3,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
420,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
421,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
422,,,,,,,,,,,4,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
423,,,,,,,,,,,4,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
424,,,,,,,,,,,9,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
425,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
426,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
427,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
428,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
429,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
430,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
431,,,,,,,,,,,1,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
432,,,,,,,,,,,4,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
433,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
434,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
435,,,,,,,,,,,2,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
436,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
437,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
438,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
439,,,,,,,,,,,4,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
440,,,,,,,,,,,2,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
441,,,,,,,,,,,7,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
442,,,,,,,,,,,3,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
443,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
444,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
445,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
446,,,,,,,,,,,4,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
447,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
448,,,,,,,,,,,2,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
449,,,,,,,,,,,0,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
450,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
451,,,,,,,,,,,4,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
452,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
453,,,,,,,,,,,0,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
454,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
455,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
456,,,,,,,,,,,10,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
457,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
458,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
459,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
460,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
461,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
462,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
463,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
464,,,,,,,,,,,0,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
465,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
466,,,,,,,,,,,0,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
467,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
468,,,,,,,,,,,0,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
469,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
470,,,,,,,,,,,10,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
471,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
472,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
473,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
474,,,,,,,,,,,8,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
475,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
476,,,,,,,,,,,8,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
477,,,,,,,,,,,1,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
478,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
479,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
480,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
481,,,,,,,,,,,9,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
482,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
483,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
484,,,,,,,,,,,1,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
485,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
486,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
487,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
488,,,,,,,,,,,7,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
489,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
490,,,,,,,,,,,8,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
491,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
492,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
493,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
494,,,,,,,,,,,6,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
495,,,,,,,,,,,4,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
496,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
497,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
498,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
499,,,,,,,,,,,0,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
500,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
501,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
502,,,,,,,,,,,10,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
503,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
504,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
505,,,,,,,,,,,4,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
506,,,,,,,,,,,4,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
507,,,,,,,,,,,4,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
508,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
509,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
510,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
511,,,,,,,,,,,2,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
512,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
513,,,,,,,,,,,0,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
514,,,,,,,,,,,6,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
515,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
516,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
517,,,,,,,,,,,2,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
518,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
519,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
520,,,,,,,,,,,8,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
521,,,,,,,,,,,4,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
522,,,,,,,,,,,3,1-5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
523,,,,,,,,,,,8,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
524,,,,,,,,,,,10,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
525,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
526,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
527,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
528,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
529,,,,,,,,,,,6,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
530,,,,,,,,,,,7,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
531,,,,,,,,,,,7,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
532,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
533,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
534,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
535,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
536,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
537,,,,,,,,,,,8,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
538,,,,,,,,,,,5,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
539,,,,,,,,,,,9,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
